"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"Adra2b",29,20,24,30
"Adra2c",70,55,64,96
"Adrb1",69,51,68,50
"Adrb2",72,60,78,55
"Adrb3",5,7,2,3
"Adrm1",175,155,151,214
"Adsl",158,108,89,135
"Adss",255,259,278,318
"Adssl1",53,70,49,54
"Adtrp",0,0,0,0
"Aebp1",344,635,526,250
"Aebp2",783,858,775,874
"Aen",217,199,176,184
"Afap1",286,332,352,260
"Afap1l1",108,89,101,103
"Afap1l2",463,395,354,490
"Afdn",1026,1022,1005,1255
"Aff1",692,555,573,714
"Aff2",145,178,140,203
"Aff3",339,405,375,325
"Aff4",3446,3651,3650,3979
"Afg1l",63,58,58,75
"Afg3l1",450,313,313,434
"Afg3l2",484,438,405,568
"Afmid",8,2,2,1
"Afp",0,3,1,0
"Aftph",1909,1722,1844,2256
"Aga",8,13,10,12
"Agap1",2667,2271,2364,2891
"Agap2",1250,1022,916,1319
"Agap3",1041,925,881,1122
"Agbl1",1,0,4,0
"Agbl2",58,50,65,126
"Agbl3",82,97,90,135
"Agbl4",27,32,14,10
"Agbl5",231,202,177,252
"Ager",11,6,8,4
"Agfg1",864,1078,998,1159
"Agfg2",366,274,258,275
"Aggf1",436,432,419,521
"Agk",105,80,114,160
"Agl",453,562,563,559
"Agmat",0,0,1,1
"Agmo",14,36,34,36
"Ago1",1023,971,964,1069
"Ago2",1556,1467,1576,1630
"Ago3",942,1099,1031,1212
"Ago4",176,181,178,224
"Agpat1",308,324,280,414
"Agpat2",8,7,6,2
"Agpat3",1970,1926,1925,2121
"Agpat4",209,239,183,160
"Agpat5",566,584,626,732
"Agps",411,518,490,566
"Agr2",0,1,0,0
"Agr3",0,1,1,0
"Agrn",659,751,677,788
"Agrp",11,8,10,12
"Agt",300,417,334,293
"Agtpbp1",1673,1371,1250,1987
"Agtr1a",2,4,1,0
"Agtr1b",0,2,2,0
"Agtr2",14,17,13,16
"Agtrap",301,277,280,211
"Agxt",0,0,0,0
"Ahctf1",927,965,825,1267
"Ahcy",28,33,23,43
"Ahcyl1",2601,3102,3145,3269
"Ahcyl2",1778,1901,1865,1611
"Ahdc1",1046,852,735,1042
"Ahi1",1008,1290,918,1041
"Ahnak",1964,2610,3098,1751
"Ahnak2",70,71,90,32
"Ahr",75,70,53,88
"Ahrr",3,2,1,2
"Ahsa1",764,612,542,694
"Ahsa2",165,242,169,179
"Ahsg",2,2,0,10
"AI182371",2,3,4,5
"AI413582",166,150,121,189
"AI429214",19,31,31,31
"AI467606",11,7,10,8
"AI593442",416,526,390,359
"AI597479",407,521,514,521
"AI661453",8,13,4,6
"AI837181",258,257,249,281
"AI854703",290,271,240,321
"AI987944",126,133,124,172
"Aida",303,351,290,363
"Aif1",15,15,13,18
"Aif1l",91,97,69,77
"Aifm1",132,121,145,169
"Aifm2",61,63,57,72
"Aifm3",1505,1266,1156,1627
"Aig1",394,484,408,522
"Aim2",32,33,21,37
"Aimp1",189,188,141,221
"Aimp2",27,16,11,23
"Aip",304,264,221,284
"Aipl1",3,3,0,1
"Aire",0,1,0,0
"Ajap1",131,164,144,159
"Ajm1",1365,1189,1162,1902
"Ajuba",30,23,20,12
"Ak1",615,561,551,707
"AK157302",7,7,4,8
"Ak2",187,187,155,186
"Ak3",681,821,823,822
"Ak4",863,722,727,960
"Ak5",61,78,45,54
"Ak6",40,46,26,61
"Ak7",31,22,29,15
"Ak8",4,1,3,1
"Ak9",12,9,13,2
"Akain1",340,304,336,433
"Akap1",432,341,343,425
"Akap10",314,296,290,365
"Akap11",4004,4413,4063,4739
"Akap12",2410,1959,1731,2037
"Akap13",263,318,334,219
"Akap14",5,15,8,16
"Akap17b",594,571,502,628
"Akap3",1,0,1,3
"Akap5",271,254,235,240
"Akap6",4329,4035,3681,4422
"Akap7",773,780,686,966
"Akap8",1041,1038,966,1431
"Akap8l",453,531,466,680
"Akap9",2744,2487,2326,2867
